,artist,designer,mechanic,category,game_type,family,publisher
6352,"7994,44582,3807,71305,117675,30281,71304,71303,59787,50679,71302,7092,30280",3,"2047,2003,2009","1055,2650,1002,1010,1024,1079,1045,1064,1008,1093,1030,1036,1016,1113","4665,5499","7523,7260,4263,5608,5744,10407,68533,21899,66508,18587,25937,67350,68089,10491,5427,5338,6429,68541,79254,65172,27580,61929,19349,5603,10441,18092,10367,5602,11505,66295,65673,19294,66532,65030,65013,65015,66166,65121,66180,66121,65028,65026,66201,19292,65787,65728,66188,67015,65675,65166,65156,6206,5574,5706,5551,72934,5837,5573,5626,5732,73593,66155,75406,5890,28718,10449,5619,24433,5680,8278,19410,5705,5860,7392,5636,19274","4,1001,8,74,30,6092,31096,861,73,11345,46735,7574,225,1935,5215,1199,23458,23006,23208,485,2400,5910,4883,420,8942,6602,22883,7270,21148,46638,19108,11,2032,4662,3676,22627,858,51,3392,19111,2830,22217,43047,30679,7555,21029,1613,23848,8454,335,22498,2672,37,4236,25318,44696,2627,22979,6747,93,1459,6892,5936,9986,23133,1326,44407,1020,22501,417,28,500,19044,22,23132,17489,34,3563,4816,24740,18805,38,777,16734,288,22688,24822,22615,22436,18920,25010,24979,95,10468,2518,23872,9466,59,26208,34108,32781"
6353,,3,2004,"1032,1002,1030,1037",5499,"98,5817","171,35302,564,16209,468"
6354,,3,2002,1098,,,1690
6355,,3,"2046,2072","1001,1027",,,738
6356,,2560,2072,"1017,1010,1046",,,1691
6357,,"30,2561",2046,"1102,1001,1086,1019","4664,5497","11518,34306",24
6358,,1121,2023,"1017,1094,1020",,,603
6359,,3,"2012,2685,2035,2004,2008","1021,1026",,64788,"51,28"
6360,,2562,"2072,2661","1017,1038",,5652,"1692,179"
6361,,3,2072,1017,,,1693
6362,,3,2020,"1094,1046,1065",,"62351,5607,78591,25158,61979",1241
6363,,"2563,2564","2078,2035","2650,1094,1031,1027",,"5666,43674",1694
6364,,8980,2035,"1021,1079",,,5
6365,,1592,"2026,2016,2070","1019,1049",4664,"61979,112",928
6366,,"2565,2413","2060,2019,2002,2008","1084,1013,1030,1028",,22783,"4,12147"
6367,,2001,"2836,2035,2939",1026,,63153,1695
6368,,3,"2072,2836,2055,2876,2035,2686,2019",1021,,63153,"784,1696"
6369,31503,31503,"2072,2850,2035,2939",1021,,63153,1610
6370,,3,2035,1021,,63153,1697
6371,,3,2035,1094,,63153,1698
6372,,"2567,2566","2035,2008","1079,1064",,,1699
6373,,3,"2026,2011","2650,1019,1049",4664,7335,1265
6374,"16261,15926,16539,16542,13830","2410,347",2011,"1022,1059",,,192
6375,,2568,"2012,2013,2035","1017,1021",,,4
6376,141829,"7,863","2081,2078","1041,1011,1097",4665,5663,"420,34"
