,artist,designer,mechanic,category,game_type,family,publisher
0,"12517,4959",1,"2916,2080,2012,2072,2040,2020","1021,1026,1001",5497,"10643,34116,91","133,2,24883,2726,15108,39249,11652,5382,8147"
1,12424,8384,2009,"1002,1010",5497,"73592,7005,75454","64,20"
2,11883,2,"2080,2040,2026,2846,2004,2002","1009,1035",5497,"64960,10634,70711,60111,42,28732","17,133,267,29,7340,7335,41,2973,4617,1391,8291,5812,3218,3,3954,8313,8759"
3,2277,8008,"2001,2080,2012,2004",1050,5497,"64229,6471,11505",37
4,"12658,18317",4,"2040,2910,2900,2940,2005,2002,2874","1021,1086",5497,"78494,4891","92,5,4871,3082,858,2962,28072,5392,4668,38,4622,7107"
5,5,5,2072,"1015,1008",,"6363,58955",6
6,36624,1335,"2043,2048,2060,2940,2002","1009,1041,1029,1086",4666,"26432,78567,24571,68769,61979","6421,4089,672,786,155,148,327,93,17832,35425"
7,36807,6,2011,"1015,1010",,,"4675,7"
8,74,"7,8","2080,2002",1020,5497,9959,"267,133,3"
9,"74,9",9,"2040,2081,2041,2078","1010,1097",5499,"7005,19299,68281,42078,70360,34380","8,267,4304,6818,18852,3395,3"
10,"28004,44242,12035,11507,11901,65041,308,12123,4959,24642,74,12024,10,233,12102,11883,12038",10,"2040,2981,2915,2004,2008","1002,1013,1026",5499,"65191,5,18","8,267,46980,7162,9068,2378,6818,33618,8845,155,5530,6214,5640,8291,3218,9325,234,7772,3395,3504,2528,32581,22,3,44204,3888,9234,27545"
11,"20789,139382,64844,106255,11883",2,"2012,2923,2928,2922,2661,2004","1050,1082",5497,"6471,66292,70711,3867,59705,62771,58,71084,60111","9,34,28620,267,29,23205,2973,8291,9881,42294,3,9234,1901,31987"
12,"12036,12382,13034,5442,26874,4959,11825,24191,25612,11883,12063",11,"2072,2026,2902,2011,2915,2081,2876,2909,2008,2897","1021,1026","5497,5499","7481,67874,68769,70360,77349,3,78198,11505","37,267,4304,157,52686,7340,6784,46980,7162,9068,4358,31418,4335,496,41,2366,26990,116,5657,4617,5530,21640,858,23382,4417,18852,8822,31372,29036,5020,6214,8291,2654,5597,3218,3533,10,51614,24886,2528,22,8313,44204,9235,48279,9234,42,18477,13481,14078"
13,"6815,37332,17547",12,"2035,2004,2020",1026,"5497,5499","73592,6485,67862","11,9881,48"
14,"12369,27686,779,13327,35334,15161","34,35,10774,36","2916,2040,2915,2015","1023,1026,1016","5496,5497","22783,5679,133","27,404,74,41,26,858,1034,40"
15,"24191,27879",13,2012,1021,5497,"22783,19451,19450",37
16,"27379,15492,1038,616,13444,18283,6815,127,12009,280,13285,28039",61,"2072,2661","1044,1017,1046,1120",4667,"22783,66140,6428,61979","12,78,465,973,76,365,322,89"
17,"12500,28513,616,14508,18431,28512,11883,18317",14,"2689,2957,2676,2836,2011,2953,2876,2822,2020","1059,1047,1031,1016","5496,5497","78568,25158,75031,22232,6924","13,267,23043,8,4871,51,7365"
18,"35234,11883",11,"2002,2017","1055,1023,1029",5499,,"133,10"
19,17,"15,684,17","2001,2831","1047,1016",5497,"22783,25158,73591,21425",14
20,,18,,"1015,1020,1016,1019",,"22783,12210",15
21,"20202,20475,19,319,1158",19,"2689,2072,2850,2011,2055,2685,2078,2028,2020,2015,2897","1022,1020,1010,1046","5496,5497","19070,7523,17527,7509,7519,7005,22861,5615,5666,28947,28880","5,1391"
22,"677,7271,98","20,677","2072,2850,2676,2026,2947,2041,2685,2070,2079,2015,2897,2974","1010,1001,1019","4664,5496","64960,7005,22861,5615","16,771"
23,18088,21,"2072,2026,2011,2002,2015,2017","1015,1026,1001,1016,1113,1019",5496,"67874,29,12210",17
24,"18088,21",21,"2072,2026","1020,1010,1019","4664,5496","12210,5137",17
25,"12257,11872","76,1672","2046,2012,2070","1015,1021,1035,1070",5497,50153,"5,41"
26,,643,"2013,2072","1021,1069,1001,1019",4664,"64952,56401,68723","18,41,858"
27,"28060,3737,22153,12003,11177,15956,15323,12004,403,15958,12005",22,"2072,2081,2041,2002,2015","1002,1079,1026,1001,1016","5496,5497",5828,"19,41,2366,2973,10044,139,39,47,3242,3446"
28,17603,"96,23","2001,2011","1046,1079",,22783,14
29,12424,"5489,27914,27820","2046,2661","1022,1072,1020,1010,1046",5496,"5607,25158,7005",20
30,16414,1291,"2072,2676","1022,1020,1010,1046,1047",5496,"22783,59218,5607,20613","14318,21,792,1299,2721,93,5392,38,4622,95"
31,"111611,39889",24,2676,"1009,1055,1041",4666,"43639,26432,68769,61979,5880,60340","8912,4110,21640,152,37303,500,22,41167,38,131,9466"
32,13771,"28,4819,7522,27","2023,2028,2015","1022,1024,1093",5496,"62462,5141","23,41,1391"
33,"4769,31983",675,"2072,2676,2026,2947,2070","1016,1019",4664,"64949,25,95,7392","25,352"
34,13910,33,,"1010,1019",4664,"7005,4328",26
35,"11801,3106","34,35,36",3002,"1039,1025",,,"27,151"
36,13887,"34,35,36","2080,2046,2850,2041,2055,2003,2884,2015,2897","1023,1010,1093","5496,5497","22783,5607,28857",27
37,"19428,13327","34,35,36","2046,2909,2070,2008","1023,1015,1010,1026,1001","4664,5496",,"9567,27,1034,307"
38,"11507,50716,57603,127351,2946,103901,12895,12567",4,"2072,2661,2876","1017,1031",5499,"70360,76458","28,157,4680,1772,597,1060,253,1705,17447,151,46565,30677,920,9881,37303,6011,417,50209,41167,34,9234,14078"
39,"12176,26009,74,16910,44542,12063",2,"2080,2883,2040,2987,2889,2902,2004,2940,2002","1050,1015,1086",5497,"27524,57934,68769,70360,70711,43,59608,27521,27522,60111,42","133,267,21341,2366,2973,17,15605,5530,264,1391,5812,5400,10,39,8313,3176,8759,538"
40,28273,9,"2910,2081,2005","2650,1021",5497,,29
41,"12597,11901",12,2009,1002,5499,"7269,21062","30,39,244,8759"
42,"45736,4177,44835,78608,12904,12317,47211,12905",25,"2014,2072,2685","1041,1064,1030","5498,5499","5597,65328,73590,70360,70948,22160,10441,5636,11205","171,562,11,20,4,3501,404,3475,157,51753,39470,35302,6189,225,792,2919,64,2033,1270,5530,454,51,17427,117,335,8291,44152,29195,93,6623,5621,634,1902,28,486,22,45802,115,34,868,1905,9235,254,6102,39848"
43,"14642,12130,79,11883",2,"2012,2923,2902,2661,2004,2874",1070,5497,"18646,68769,11515,8374,59705,67862,15","8,29,157,46012,27311,2024,32581,3"
44,"12107,11883",37,"2043,2902,2910,2915,2004,2002,2008,2874","1029,1021,1026",5497,"13111,18192,58,6963","9,34,3320,4335,5657,264,30521,4696,33998,538"
45,11883,38,2012,"1035,1001",5497,,"267,15258,31"
46,11883,10,"2040,2047","1002,1045",5499,"62233,25307,5841","29,7162,24631,917,8845,6275,6214,8291,9325,3504,6011,2962,6123,3,9234,14078"
47,"12130,26874,22516,22515,11902,11883",2,"2040,2661,2823,2004","1002,1020",5499,"24439,70360,70711,149,61979,78,21940","37,267,4304,4335,2366,5657,4617,1386,8923,6214,8291,40841,5597,3218,3395,22,19148,3,9235,48279,9234,42,1466,47140"
48,11883,24,"2676,2011","1009,1059,1028,1037",4666,"78566,75031,5666,22232","133,29,2366,8820,8439,8291,37959,6011,8795,3,9234,538"
49,"13678,36900,9163,16414,12497,15556,1657,13893,14028,15011,14949","39,40",2026,"1010,1086,1019",4664,4327,26
50,,41,,1021,,26397,33
51,"18700,38196,14142,11883","42,7","2001,2080,2012,2676,2026,3001,2959,2011,2004,2002,2874","1020,1086",5497,"12803,22135,11505,40,21940,62428,43639,18319","34,29409,29,11043,917,7496,8820,43240,26840,30677,3,33998,8147,1466"
52,62425,"6663,62424",2072,"1093,1027",,22783,"37,35,23162,36"
53,3,"44,45","2012,2013",1021,5497,,38
54,"36691,16376,20086,11968,8452,74,11902,98,13160,46,16474","47,1188,46","2080,2046,2072,2850,2026,2011,2016","1023,1020,1010,1079,1086,1019",5496,"22783,45672,6480,7559,6979,62079,7488,58093,7509,7519,7668,7972,7381,7005,22861,5615,6428,13265,14044","26,40,538,1391,39"
55,11883,48,"2012,2013","1021,1020,1088",5497,"22783,11519,46197",37
56,11845,49,"2080,2046,2914,2081,2876,2861,2686,2015,2897,2874","1050,1015,1086",5497,70354,41
57,11883,50,2004,1050,4666,78574,"44,3"
58,"9163,979,9170,9379,15479",51,2689,"1022,1050,1024",5496,"5607,6471,71190","26,3805"
59,"43315,693",52,"2046,2072,2947,2855,2070,2828","1035,1001,1019",4664,"64960,10634,58957,58059","5,1634"
60,"22066,22084,46292",53,"2080,2046,2072,2040,2686,2019","1002,1035,1001,1019","4664,5497","26568,64960,44339,58013","94,42,89"
61,40163,54,"2035,2004",1002,,48865,43
62,855,11,"2080,2012,2043,2011,2915,2940","1035,1001",5497,"22783,78580","44,3"
63,55,55,"2001,2078","1009,1050,1019",4664,"26432,66186","4,1531,62,8722,6695"
64,"11872,20649,140","135,140","2018,2072,2078","1050,1019",4664,"64960,10640,58139","5,4130"
65,,2354,2048,1009,4666,"4220,5902,6485,61979","553,1536"
66,11883,57,"2040,2011,2002",1029,"5497,5499","22783,24571,68322","44,267,3"
67,"22241,2652,71,17672,12252,58",58,"2080,2046,2040,2004,2849,2008,2826","1050,1015,1021,1026",5497,"27524,72535,52373,64960,6471,11515,22642,27503,65387,58955","333,4225,5,4259,41,103,3458,22,5979,307"
68,59,59,"2040,2011,2041,2019,2015","1002,1001",5497,,"46,9881"
69,"962,11800,34863",60,"2924,2041,2004",1002,"5497,5499",24255,"47,100"
70,6815,"7034,294","2040,2865,2020","1002,1079,1030",5498,"33,46175,6485","4752,10964,5833,93,48,39,964"
71,"61,15563,16874,280",61,2040,"1002,1010,1120,1037",5498,7530,"12,4238,2726,4713"
72,"11872,140",2896,"2080,2057,2072","2650,1021,1086",5497,,5
73,3414,"62,64","2072,2026,2016,2070","1019,1049",4664,"6137,11966,18581,73775,61979,2299",49
74,3414,62,"2072,2026,2016","1019,1049",4664,"6137,61979,2299",49
75,,62,"2072,2676,2026,2016,2070","1019,1049",4664,"6137,79503,61979,72016,2299",49
76,3414,64,"2072,2016","1048,1019",4664,"6137,14835,8374,61979,43671",49
77,3414,"64,65",2016,"1048,1019",4664,"6137,61979",49
78,"68,68731,3414",62,"2072,2026,2016,2070","1019,1049",4664,"6137,6471,13244,72674,53215,61979,59607,13265","49,8689"
79,,"67,64,66","2072,2078,2016,2070","2726,1019",4664,"62900,6137,10168,21079,61979,27614","49,280"
80,3414,"64,69","2072,2026,2016","1019,1049",4664,6137,"49,42"
81,"11887,11825,11883","42,7","2001,2080,2043,2676,2040,2940,2944,2002","1009,1035","4666,5497","5607,62518,70361,70354,40","11,3490,29,2366,26024,34,3,9234,42,4932"
82,"71,140",386,"2072,2040","1048,1002,1017,1019",4664,14835,"52,50"
83,,262,2040,"1002,1064,1016",5499,"22783,5602,61979","51,20"
84,"2652,23441,71,140",484,"2018,2072,2078","1019,1065",4664,"50153,61979,59608,71084","52,2366,23205,29194,570,8759,4130"
85,74,"7,8","2838,2080,2046,2012,2040,2047,2041,2926,2020,2828,2826","1035,1070",5497,"64960,10310,70360,70354,9959,78680","133,267,403,41,5657,8500,3"
86,11883,9,"2081,2041,2005","1021,1034",5497,14835,"8,267,3"
87,74,"74,75","2676,2876,2035","1089,1041,1017",5499,7760,"54,254"
88,,575,"2689,2072,2676,2040,2078,2940","1008,1090,1019",5496,"25158,61979,89","39609,20"
89,,575,"2046,2072","1050,1021,1019",4664,"5606,64960,25158,58534,58955,89",20
90,71090,575,"2046,2072,2863,2853,2019","1021,1019,1049",4664,"5607,64952,25158,10643,10634,18581,17056,14835,34,62881,89,68723","1338,20,275,17968"
91,,287,"2046,2072,2070","1016,1019","4664,5496","14835,89,26464,64809",20
92,"23114,51992",7,2012,"1002,1031",5499,"19286,19133,9862,6206",10
93,27899,10,2004,1002,"5497,5499",22783,"133,3"
94,"11858,11872,34577,98,1158","97,98","2072,2863,2685,2035,2016,2004","1010,1019","4664,5496",91,"5,2486,264,5382"
95,,"151423,1","2080,2004,2070,2002",1086,5497,,2
96,"12519,12033,12034,20625,32008,20628,11872,885",2,"2014,2040,2910","1002,1010,1082","5497,5499","5615,8096,3400","5,1876,6194,2973,17,1391,8291,3218,3395,504,9234,3446"
97,"26009,148884,37367",77,"2040,2004,2017","1002,1040","5497,5499","24439,11971,11,2250","55,597,2973,6214,47202,39"
98,,3674,"2676,2026,2002",1009,4666,,2546
99,12605,244,"2834,2043,2676","1009,1037",4666,"75031,61979,10","137,3,38"
100,11902,5,2012,1029,"5497,5499",6363,"6,37,42"
101,"38280,4959",7,"2012,2007,2035","1021,1064,1011",5499,"10643,11505,46197,10695","1765,9046,11,858,34,28505,16784,38,4603"
102,"13976,11883",2,"2080,2043,2040","1009,1035,1086",5497,"22783,10643","1705,51,28"
103,"79,7483,20664,12019,12017,121193,35766,78938","79,80,72460","2080,2012,2922,2040","1023,1002,1035,1026",5497,"22783,64960,68769,11515,54197,3400","116,3475,6194,41,2973,17,4617,5530,264,18852,3218,504,39456,3446,538"
104,"142247,114330,108040",50,2009,1002,5497,,"30,25074,50209,29154"
105,65861,81,"2012,2047,2008","1009,1023,1029,1021,1026",,7395,4
106,13976,4,"2072,2040,2915,2035,2004,2686","1021,1026","5497,5499","70360,8180","597,2973,1705,6214,8291,9881,38,33998,3888,9234"
107,"12012,11803",82,"2040,2041,2004,2686","1002,1079",5499,"11006,68034","13,8,6784,2239,706,51,7365,2962"
108,"73214,11902",83,"2883,2019,2002",1009,4666,"78571,7345","792,454,37,3"
109,"16908,96304,104188,11858,13034,115623,37840,99444,99446,99445,99443,35684",2,"2012,2918,2923,2920,2919,2013,2040,2874","1002,1021",5497,"59705,71084,56419,75406,39521","133,36401,42032,21608,23205,24215,33618,15605,22650,6214,40841,3218,34801,5400,10,9881,6267,22649,39,33999,7466,8759"
110,"16531,14596,12589,24858,14106,22713,11883",2,2002,"1009,1010,1035","4666,5497","78591,3400","133,23043,3475,6784,24631,6194,2973,22560,17,24432,3395,7992,9234"
111,"92100,12382,30844,26874,92101,12514",11,"2003,2004,2020",1023,5499,"22783,58","9,34,5,11,104,103,335,6892,1901,4603"
112,"12261,11801,12433,12434,667,12432,1158","34,35,36","2916,2080,2046,2012,2864,2040,2961,2019,2015","1023,1046,1026,1093,1001,1016","5496,5497","7973,5838,5679,5615,13265","5,41,1391"
113,"13034,5442,13245,11883,12063",2,"2078,2008,2017","1050,1026,1001",5497,"5606,26432","133,8,10"
114,3,3,"2004,2686",1002,,48865,2330
115,74,"74,75","2957,2072,2676,2015",1036,5497,"41487,59442,16886,66167","54,538"
116,"11997,37741,11883",2,"2012,2004,2020",1002,5499,"132,76","24504,597,7496,29194,44,1386,3,9215,8759"
117,,5774,"2014,2035","1089,1031,1038",5498,5730,"27075,254,57,32781"
118,"1038,11872",4595,"2023,2020,2015","1039,1016","4664,5496",,5
119,"12828,56860,11883,41897",84,"2999,2048,2002","1009,1028","4666,5499","5666,4990","2864,11,288,3475,6189,10768,23205,597,17447,8923,35071,34,7466,9234,4932,39362"
120,"85375,1038,23115","103,46","2010,2026,2965,2081,2007","1010,1034,1011",5497,"63162,51",10
121,11883,87,"2080,2040,2004","1050,1023,1002",5497,"72535,5606,6471,63654,61979,78","37,267,5657,6214,5597,3,42"
122,11827,141,2011,"1020,1024",5497,64376,58
123,"22516,22515,11902",85,2002,"1008,1031",5499,"10647,5831","37,3,42"
124,"28228,11883",86,"2080,2013,2959,2940,2686,2002,2826","1029,1008,1070",5497,,"267,44,42"
125,11901,50,,1002,,5660,8
126,"557,56049,53833,28548,2098","557,88,2398,2098","2072,3000","1072,1030,1037,1025",5498,11395,"45435,14318,157,496,103,5530,454,3820,335,2721,1179,22,115,34,131,909,39848"
127,11801,"34,224,35,36","3002,2891,2017","1023,1039,1010,1035","5497,5498",,"27,62"
128,"55897,55898,9019,55900,55901,55899,55902,120566","3457,2744,991","2013,2915,2831,2004,2008","1002,1021,1030","5498,5499","8162,5636","4,3475,1772,586,792,11264,253,33618,200,3676,51,4721,3922,6214,8291,11107,28,4384,9927,38,288,2027,95,59,5117"
129,74,9,"2080,2004,2008","1016,1113,1086","5497,5499",,"267,29,716,3"
130,11883,91,"2080,2013,2020",1021,5497,"22783,5902,11515,8496","44,3"
131,58084,"38,92",2686,"1089,1002",,,32
132,74,9,2072,1026,,19299,60
133,3,4,,"1029,1026","5497,5499",24571,"99,34"
134,"28043,11478",2,2013,1021,5499,68019,"253,1901,8759"
135,68048,1083,"2013,2072,2909,2002","1021,1088",5497,"11519,46197","5941,62,39,11652"
136,12832,93,"2003,2020","1023,1035",,,38
137,5,5,"2860,2011,2876","1032,1041,1030,1031,1038","5498,5499","3829,5552,11505,6206","1562,44,6,3218,8322"
138,"11883,94",94,,"1032,1090",5499,"78567,5902,72",29
139,74,"74,75","2019,2009","1002,1119",5497,,"8,23205,54,3"
140,11883,7,2040,"1002,1098",5499,"7530,5012,66890","8,8845"
141,99,99,"2040,2007","1055,1002,1021,1034,1011",5497,"22783,61979",65
142,1586,1,"2041,2009","1002,1039","5497,5499",,"2,9881"
143,28585,"7,100","2081,2078","1089,1020,1011",5499,"75820,28767","99,34"
144,"12516,92893,13695,36237","103,93617,5945","2883,2010,2026,2081,2007","1021,1034,1011",5497,"63162,51",10
145,"15493,3737,33223,46",46,"2046,2072,2947,2070,2015,2897","1016,1019",5496,"7395,5679,5713,61979,41798","858,19,16"
146,72437,"8965,30561","2055,2017","1023,1030,1025",5498,"10133,66334,1539","21,111,1189,645,290,51,93,20,28,5870,38,964,112,26398,1511,5700,4343"
147,"61,13285",61,2661,"1002,1081","5496,5499","5744,58901",12
148,3106,104,"2039,2060,2016","1009,1039,1028",4666,"5902,5666","404,2074,1772,151,28,95"
149,13335,105,"2001,2072,2078,2070,2015","2145,1035",,"50153,61854,74745,64960","69,2366,584"
150,74,"74,75",2013,"1021,1013",5497,,29
151,"27689,18349,6422,13034,75103,12673,1261,21797,36237,23115","103,106","2883,2010,2026,2947,2081,2007","1021,1034,1011",5497,"63162,14835,51",10
152,12383,2,"2040,2888","1002,1038",5499,"22783,61979,8178,5786,71169","29,597,1562,9881"
153,"28022,1624,6206,4093,11507,12673",1624,"2040,2685,2686","1002,1033","5496,5499","18227,14835,65600,75455","234,10,23043,157,5972,1391,2394,3888,89"
154,"52009,50957,125079,84535,137391,137390,84534,88104,9393,15188",3,"2676,2946,2940,2861,2884",1009,4666,"26432,4024,5608,77906,65503,5733,62518,25158,68769,70360,70948,70711,65172,10367,5602,28554,61979,11505,4891,9531,10267,2909,20390,5619,28519,5861,21640,10484,5636,5635,19291","171,4,92,1017,25576,22395,7533,21371,46857,993,9729,8988,16355,690,4371,26112,73,31386,225,24091,5314,30303,507,4718,1958,52319,40061,41671,2401,16846,789,18726,38035,11001,41769,17388,4652,193,485,38036,691,4886,8234,11947,51837,11320,24954,8942,377,64,8359,12542,445,1731,10964,17008,11188,13397,2033,200,17159,103,247,30324,22399,51165,5247,51,2748,52774,62,1375,4721,897,1758,1195,8856,7112,2257,8402,50805,233,18663,5722,335,3277,19208,8565,35495,2965,127,11944,6266,327,30355,734,5816,12135,15351,1670,2627,22807,19205,11885,2547,93,8931,4554,52410,8760,52893,3789,3364,20,16715,30331,39560,11952,10094,1326,39048,304,45579,634,39888,11187,1781,28,209,486,2188,648,22,5942,1087,2256,11559,115,25511,22546,134,9358,11875,4450,49342,48977,1138,4668,38,359,4274,433,36,288,30733,2625,32737,36742,6088,38218,964,527,8089,38625,2942,627,6367,11954,10880,95,6102,23115,5700,11702,3121,16793,9851,59,13,221,3245,7506,16758,24955"
155,"75012,119788,122974,11478,141786,119789,111373,80187,133024,91812,90478,12895",13,"2012,2920,2919,2040,2926","1002,1021",5499,"70360,76,28174","40920,4304,18856,43014,7162,14813,4335,597,11,8500,45134,264,8923,15983,6214,38392,26883,32395,9881,32581,2726,30490,34,33998,18477,1901,17786,8759,45931,10739,28082,28402"
156,"2954,27903,21629,17672","107,108","2950,2676,2685,2661,2876,2035,2070,2019","1031,1038",5496,"18648,143,6206,72934","116,267,157,41,5527,3176"
157,59,"114,115","2040,2004,2009",1002,,7559,"133,3"
158,"44242,3919,12024,46292,40000,36697",24,"2920,2020","1089,1023,1002",5499,"45672,7334,7269,7379,7381,70360,80224,17407","8,157,6818,485,11,33618,155,8291,3504,5787,12047,34,9234,95,59"
159,280,61,"2001,2012,2040","1002,2481","5496,5499","61897,11257","12,33238,19,89"
160,9393,2,"2043,2015",1009,4666,"7835,78603,61979,48865","403,73,10094"
161,11883,2,"2676,2940",1009,4666,"78591,61979","8,1094"
162,2946,85,"2020,2002","1009,1002",4666,,11
163,3,"116,1047","2046,2072,2685,2004","1086,1019","4664,5499","64952,25158,56924,62881,10149","3320,404,4871,4922,4680,46980,1935,1772,253,13103,858,6566,51,8245,2627,52410,920,6876,417,52411,28,38,4933,1322,95,59"
164,"12705,12013,12014,11883",2,"2040,2004,2019","1002,1035",5499,135,"9287,34627,244,302,3001"
165,33307,2,2080,1009,4666,"26432,14759,61979,130","73,1087"
166,94457,61,"2676,2876,2035,2686","1009,1017,1120",5499,"6507,65328,25158,8374","12,17543"
167,,195,"2048,2078,2019",1002,,78567,"9409,51,28"
168,"33954,70252",3,"2043,2940",1009,4666,"26432,78562,78571,78641,78574,73591,68769,70360,80224,80226,79508,80242,70948,70711,61979,4891,7336,46162","171,92,404,362,5,4922,4680,35302,6765,3828,1307,5314,2401,586,17388,193,485,11320,3082,377,64,11188,3115,2456,16977,280,958,23107,10215,5085,3488,5247,3392,19020,6262,5789,9187,25837,4111,291,661,335,8291,26131,6266,12135,8253,20,6261,33127,16715,10094,99,1781,1530,1226,50298,34,945,9188,4668,38,37270,433,288,2972,26130,10880,95,3245,7506,9301,16758,13414,7537"
169,12382,11,"2072,2040,2047,2008","1035,1026","5497,5499","18592,3",37
170,74,158,2012,1002,5499,,133
171,"103163,102462,12024,213,46002",139,"2020,2008",1002,5499,,"8,8291,9325,34627,6011"
172,11797,3,"2072,2661",1017,5499,21910,"29,561,17159,17130,2962"
173,43471,"43471,110","2072,2686","1002,1029,1116,1010",5496,,70
174,,262,2072,"1017,1031,1038",,6206,20
175,"12118,22568,18529,2652,64089",172,2017,"1026,1001","5496,5497","18581,70948","5,114,9881"
176,231,111,2007,"1002,1034,1011",,"7829,71007","1752,71"
177,"37333,12905",4,2004,"1002,1090",5499,,11
178,"65633,67458,23114,108613,35684",117,"2080,2040",1029,5499,"13111,5607,66113","133,30521,267,29628,3475,9068,37681,26380,1280,8291,34778,1833,14,10,7772,5320,406,3,964"
179,"855,11883",11,"2080,2011,2002",1020,"5497,5499",,"267,44,10"
180,"12382,22516,22515,855,11902",60,"2080,2040,2048,2861,2884,2002","1009,1035",4666,"78574,70354,20249,61979,78","100,37,267,37303,43169,42,4932"
181,"199,200","199,200","2011,2685",1019,"4664,5497","6480,78573,13265",335
182,,44378,"2035,2686","1032,1041,1024",4665,7973,28
183,"74,64844,74499",2,"2080,2923,2956,2875,2676,2026,2910,2081,2004,2005,2002","1034,1011",5497,"26432,14759,50152","267,27311,1386,39,3"
184,"144011,12652","42,7",2009,1002,,,"11,50209,22609"
185,3,"118,14,119",,"1032,1002",,,"8,13"
186,12895,381,,1002,,,"11,34"
187,,79,,"1002,1033",5499,,"1410,51,28,1052"
188,20762,25,,"1030,1027",5498,,"6760,2691,51,8931,6290,20"
189,"11901,37392",154,"2040,2048,2002",1009,5499,"78564,76458,11358","8,6214,4047,93,156,3,9234"
190,"107085,98418,12118,3025,74074,172,14057,28066,11883",172,"2040,2980,3006,2019,2009",1002,5497,"131,24434,8120,98,70360,76458,77349,70948,27176","114,267,29,5657,8845,21640,18852,6275,8291,19148,3,9234,27878,17786,14078"
191,"12081,12588,12017,11989",2,"2080,2002,2015","1009,1051",4666,"39749,61979,3400,66105","29,531,17,264"
192,"17728,36638,11797",1,"2001,2072,2004",1032,5499,"73592,5841","264,2,4335,17,5530,38505,8923,5380,3888,9234,23599"
193,"78124,23319","167,168","2012,2004",1026,"5497,5499","4891,61,56419","92,5,111"
194,3919,13,"2040,2002",1021,,78568,74
195,"38917,98717,12705,111611,11478,75070,12714,11997,12024,12038",2,"2012,2919,2922,2040",1002,5499,"76,75454","34,39686,8,597,26380,29194,8328,9287,9881,37303,22651,29313,41167,33010,44181,1901,254,8759"
196,17124,287,"2080,2046,2012,2927,2072,2020","1102,1035,1086,1019","4664,5496","64960,66140,10634,58059,89,5701,28732","20,4871,13"
197,12024,10,"2041,2004","1002,1016",5499,5,"8,7772,3395,3"
198,"962,57201,30159",7,"2081,2078","1020,1011,1097",5499,21940,"8,47,34,29409"
199,"27337,121,27996,58786","120,121,631","2080,2072,2040","1015,1050,1035,1051,1070,1019,1065","4664,5496,5497","5606,64952,25158","4871,75,5,4259,103,307,538"
200,,"123,122",,"1009,1037",4666,"20,6363","35311,8112,76"
201,,124,"2011,2081",1009,4666,"6363,61979",77
202,28039,"127,3260","2040,2686","1002,1046",5496,,"78,3373"
203,74,9,"2040,2902,2910,2041,2078","1002,1010,1097",5499,"19299,34380","8,267,3"
204,"2652,12422,12423",19,"2013,2072,2947,2007,2078,2035,2819,2008,2897","1021,1020,1016,1113,1011",5497,"64949,5679,67862,5666,19296,43634",5
205,"12257,11872",135,"2046,2015","1108,1055,1019",4664,"14835,43639",5
206,"79,17672,80","79,80","2046,2072,2007,2008,2827","1021,1008,1070",5497,"64960,58955","41,116,267"
207,"20431,11858,20430,84542,11872,140,100144,38138",140,"2080,2018,2072,2850,2078,2070","1050,1001,1019",4664,"68956,5606,64960,58053,61979,58955,91,92","5382,5,41,8313"
208,"18858,2652,12422",135,"2072,2676,2026,2947,2070,2819,2015","1022,2726,1008,1090,1019","4664,5496","10648,10310,9793,5666,8164,57981,59500,74823","5,41"
209,42845,136,"2689,2072,2026,2975,2070","2726,1108,1075,1051,1008,1090,2710,1019",4664,"22783,14835,9793,59444,57982,58050,61979,72016,74823","5,1634"
210,1030,1488,"2072,2026,2070","1051,1019",4664,"68545,12981,11006,61118,61979,72016,23117",120
211,"60355,28022,52766,63801,12019,12065,11872,12422,14276,1000,63802",1000,"2046,2072,2070,2853,2017","1050,1015,1035,1019",4664,"5606,64960,14759,13105,13106,18284,22839","5,6194,2366,2973,531,17,103,264,307"
212,"27907,36897",150,"2046,2661,2070","1020,1070,1019","4664,5497","22783,61646,61645,5549,57981,61647","91,90"
213,"16468,1455,2604,70483,22071,11968,36651,11902","169,171,917,14479,170,13822","2046,2072,2850,2040,2020,2008,2015,2017","1023,1079,1033,1026,1001,1019","5496,5497","41975,18319","396,74,4680,2084,41,24883,1391,5400,39,10451,38,1052,40"
214,"11857,2652,71",76,"2854,2072,2676,2026,2837,2975,2011,2947,2855,2822,2016,2070,2015,2897","1019,1049",4664,"62,65851,61979","5,1391,196"
215,"20473,29870,1158","76,1101","2001,2689,2014,2072,2676,2026,2055,2685,2661,2822,2015","1050,1046,1031","5496,5497","5606,7523,68958,5730,6993","5,1634"
216,,"188,189",,"1002,1001",,,107
217,74,"165,9","2041,2004",1002,5499,"7535,7544,4","267,11,155,3,55,87"
218,"13910,9163,12428,70682","128,949","2046,2850,2055,2007,2028,2004,2070","1035,1026,1001,1086","4664,5496","22783,64960,50153",26
219,"11933,22514",131,"2685,2020,2017","1008,1026,1030","5497,5499",22783,"3096,79,538"
220,11872,770,"2080,2046,2685,2020","1023,1026,1001,2710,1086,1019","4664,5497","22783,9470,19265,21622",5
221,1030,1925,"2072,2026,2974","1051,1019",4664,"69410,3231,61979,23117",120
222,"22806,2652,12422","297,296","2046,2072,2947,2822,2016,2070,2015,2897","1021,1051,1026,1001,1019",4664,"64960,50153,12981,11006,63529,63518,11966,10310,17056,61118","237,5"
